Order ID,Customer ID,Employee ID,Required Model Type,Required Accuracy,Order Date,Completion Date,Model ID,Price
S220339,c0014,e00014,NN,66.5,2022/07/22,2022/10/03,m0002,479
S210534,c0016,e00016,SVM,75.34,2021/04/08,2021/04/26,m0063,149
S231051,c0024,e00006,logR,74.1,2023/03/23,2023/12/02,m0066,508
S230438,c0025,e00007,logR,58.83,2023/12/04,2023/12/23,m0022,693
S230915,c0046,e00011,RF,59.18,2023/02/04,2023/11/08,m0077,409
S230877,c0051,e00001,NN,55.77,2023/01/02,2023/09/18,m0002,625
S231212,c0054,e00001,NN,66.82,2023/06/30,2023/11/20,m0002,686
S230504,c0014,e00014,NN,53.48,2023/12/29,2023/12/30,m0065,609
S231442,c0014,e00014,NN,71.4,2023/09/12,2023/10/28,m0065,572
S231075,c0024,e00020,logR,63.1,2023/02/15,2023/05/28,m0044,463
S220426,c0043,e00019,NN,67.17,2022/06/28,2022/07/25,m0073,301
S220058,c0023,e00018,logR,63.68,2022/03/27,2022/12/11,m0059,301
S230775,c0009,e00007,NN,73.33,2023/09/06,2023/12/30,m0081,455
S230460,c0014,e00014,NN,58.9,2023/02/02,2023/09/20,m0002,664
S231091,c0053,e00012,kNN,69.3,2023/08/29,2023/10/30,m0057,589
S210062,c0007,e00002,SVM,67.15,2021/02/17,2021/04/01,m0033,252
S210541,c0023,e00013,DT,58.65,2021/01/20,2021/04/16,m0054,239
S210231,c0061,e00016,LR,75.01,2021/04/26,2021/07/22,m0075,152
S220341,c0016,e00016,SVM,68.54,2022/08/11,2022/12/21,m0048,244
S220545,c0029,e00015,logR,67.47,2022/01/12,2022/08/05,m0022,316
S230265,c0034,e00022,NN,68.34,2023/03/26,2023/08/13,m0043,512
S220169,c0049,e00002,NB,71.39,2022/04/16,2022/06/26,m0029,285
S210368,c0003,e00002,kNN,62.38,2021/01/17,2021/03/24,m0034,230
S210563,c0072,e00018,kNN,50.9,2021/10/03,2021/11/07,m0024,289
S210273,c0049,e00005,NB,62.34,2021/06/10,2021/11/10,m0029,283
S230508,c0014,e00014,NN,67.71,2023/08/21,2023/09/09,m0050,571
S230335,c0063,e00018,NN,68.17,2023/11/25,2023/12/01,m0050,616
S231008,c0009,e00006,NN,50.8,2023/02/05,2023/08/18,m0065,681
S230321,c0014,e00014,NN,50.47,2023/10/01,2023/12/27,m0081,690
S210869,c0053,e00002,SVM,54.62,2021/12/20,2021/12/24,m0041,188
S231032,c0059,e00006,NN,77.87,2023/07/30,2023/08/15,m0016,593
S230311,c0014,e00014,NN,68.94,2023/01/22,2023/05/24,m0035,421
S220372,c0020,e00020,RF,63.74,2022/03/11,2022/05/22,m0032,336
S220465,c0068,e00021,logR,67.94,2022/07/20,2022/12/22,m0028,274
S220982,c0019,e00010,logR,60.01,2022/04/10,2022/07/19,m0014,429
S230164,c0010,e00007,DT,60.72,2023/07/11,2023/12/28,m0038,624
S230773,c0012,e00019,NN,52.84,2023/07/09,2023/08/29,m0058,478
S210839,c0023,e00020,SVM,53.99,2021/02/28,2021/08/21,m0056,283
S230288,c0006,e00021,NN,57.96,2023/05/08,2023/08/06,m0050,491
S220420,c0058,e00017,SVM,65.33,2022/06/06,2022/07/09,m0033,204
S210203,c0004,e00013,DT,70.62,2021/07/02,2021/07/29,m0076,246
S210174,c0015,e00012,SVM,75.3,2021/07/03,2021/09/24,m0071,289
S210751,c0002,e00002,RF,76.64,2021/11/28,2021/12/26,m0055,158
S230736,c0008,e00002,logR,60.12,2023/08/26,2023/10/29,m0066,580
S210262,c0020,e00002,SVM,63.98,2021/09/18,2021/10/16,m0071,281
S230073,c0014,e00014,NN,68.07,2023/02/25,2023/07/12,m0073,530
S230419,c0061,e00003,LR,73.22,2023/03/28,2023/05/12,m0053,576
S220497,c0069,e00004,RF,76.94,2022/04/06,2022/05/10,m0077,323
S220964,c0001,e00011,DT,54.11,2022/10/07,2022/10/28,m0031,474
S221105,c0014,e00014,NN,76.66,2022/03/23,2022/09/10,m0043,349
S230859,c0050,e00011,NN,58.73,2023/06/20,2023/12/17,m0043,468
S230370,c0051,e00017,NN,54.76,2023/01/01,2023/08/03,m0050,404
S231004,c0034,e00016,NN,54.75,2023/06/05,2023/07/05,m0065,486
S210801,c0034,e00006,kNN,73.72,2021/11/30,2021/12/15,m0072,121
S210220,c0056,e00022,DT,73.96,2021/12/27,2021/12/30,m0031,145
S220700,c0033,e00019,kNN,76.45,2022/04/10,2022/12/04,m0049,468
S210117,c0043,e00002,DT,61.18,2021/04/15,2021/06/23,m0026,274
S230383,c0014,e00014,NN,71.59,2023/12/11,2023/12/20,m0043,442
S230673,c0014,e00014,NN,67.82,2023/01/02,2023/03/19,m0023,471
S231273,c0008,e00014,NN,62.21,2023/07/19,2023/08/31,m0035,446
S230701,c0066,e00022,NN,56.33,2023/01/04,2023/04/12,m0002,613
S210035,c0021,e00004,DT,70.17,2021/08/29,2021/10/25,m0031,288
S230205,c0050,e00019,LR,77.7,2023/12/25,2023/12/26,m0068,616
S230075,c0044,e00004,NN,62.15,2023/09/14,2023/10/09,m0081,658
S230628,c0038,e00008,LR,75.28,2023/12/08,2023/12/20,m0060,590
S231003,c0070,e00013,NN,72.44,2023/02/28,2023/03/30,m0002,664
S210536,c0014,e00014,NN,63.78,2021/06/02,2021/06/06,m0081,265
S210248,c0047,e00002,NN,59.35,2021/10/03,2021/12/24,m0081,172
S210452,c0004,e00019,SVM,58.56,2021/01/27,2021/07/22,m0012,134
S231130,c0014,e00014,NN,73.13,2023/10/13,2023/12/05,m0073,432
S220614,c0014,e00014,NN,71.48,2022/05/15,2022/12/03,m0073,487
S220291,c0009,e00013,logR,67.98,2022/07/11,2022/10/21,m0028,341
S230425,c0035,e00012,SVM,55.18,2023/12/09,2023/12/19,m0079,628
S230599,c0035,e00022,logR,56.21,2023/10/13,2023/11/05,m0007,574
S220831,c0030,e00019,NN,64.76,2022/06/16,2022/12/04,m0065,262
S230478,c0014,e00014,NN,55.57,2023/07/10,2023/11/29,m0058,569
S220093,c0052,e00016,RF,70.76,2022/04/23,2022/12/13,m0013,290
S220003,c0059,e00009,DT,59.78,2022/10/08,2022/10/11,m0018,387
S230111,,e00014,NN,62.95,2023/12/05,2023/12/23,m0043,529
S220973,c0003,e00002,NB,62.54,2022/05/19,2022/08/07,m0015,218
S210263,c0048,e00021,logR,75.33,2021/07/07,2021/10/23,m0082,171
S220045,c0039,e00006,DT,75.49,2022/11/19,2022/12/18,m0011,203
S220237,c0009,e00004,NN,59.42,2022/02/08,2022/12/03,m0023,430
S221074,c0018,e00004,kNN,71.8,2022/10/13,2022/10/21,m0042,293
S210741,c0012,e00009,NN,65.81,2021/11/19,2021/12/11,m0008,275
S220770,c0014,e00014,NN,75.83,2022/11/14,2022/12/20,m0081,430
S230814,c0014,e00014,NN,52.2,2023/07/20,2023/08/21,m0073,404
S210219,c0041,e00015,RF,76.89,2021/09/21,2021/11/08,m0047,102
S220451,c0029,e00009,NN,54.25,2022/10/11,2022/10/21,m0016,266
S220550,c0028,e00003,NN,75.88,2022/05/15,2022/06/16,m0065,413
S231167,c0059,e00016,kNN,59.21,2023/08/17,2023/10/28,m0049,576
S220774,c0040,e00011,SVM,77.69,2022/01/27,2022/04/27,m0071,428
S210719,c0040,e00007,RF,66.12,2021/03/31,2021/05/14,m0020,288
S231290,c0016,e00016,SVM,67.39,2023/04/15,2023/10/31,m0048,531
S230186,c0033,e00005,NB,66.71,2023/12/10,2023/12/20,m0029,692
S210501,c0069,e00016,NB,71.57,2021/02/09,2021/10/26,m0078,158
S231121,c0067,e00008,SVM,61.84,2023/08/24,2023/11/06,m0003,668
S230784,c0013,e00002,NN,53.94,2023/01/06,2023/01/18,m0050,638
S220736,c0017,e00001,NN,65.95,2022/09/09,2022/12/04,m0065,375
S220991,c0018,e00004,NN,54.65,2022/01/25,2022/09/04,m0065,360
S210134,c0041,e00016,logR,53.96,2021/10/25,2021/11/04,m0022,172
S221016,c0071,e00016,NN,56.44,2022/08/23,2022/12/25,m0043,326
S231427,c0014,e00014,NN,54.46,2023/08/22,2023/10/27,m0081,589
S210099,c0001,e00017,RF,58.72,2021/04/17,2021/06/28,m0039,134
S231002,c0053,e00008,kNN,51.37,2023/04/22,2023/07/07,m0034,566
S220876,c0014,e00014,NN,69.16,2022/02/01,2022/10/21,m0058,274
S220322,c0046,e00021,LR,70.92,2022/11/01,2022/11/30,m0053,383
S210814,c0020,e00020,RF,74.44,2021/08/30,2021/12/18,m0047,254
S210355,c0072,e00001,NN,71.39,2021/09/11,2021/10/21,m0002,194
S230210,c0020,e00020,RF,72.86,2023/02/10,2023/03/07,m0077,573
S220030,c0065,e00008,NN,66.74,2022/05/20,2022/10/23,m0073,375
S210886,c0014,e00014,NN,67.12,2021/04/05,2021/04/25,m0081,138
S230670,c0051,e00020,DT,56.03,2023/05/18,2023/06/07,m0069,481
S210540,c0014,e00014,NN,77.3,2021/04/07,2021/04/28,m0050,164
S230541,c0024,e00021,NN,75.78,2023/08/10,2023/08/31,m0050,474
S231017,c0016,e00016,SVM,77.91,2023/10/01,2023/12/06,m0027,539
S220539,c0024,e00017,NN,68.55,2022/08/24,2022/10/24,m0002,203
S220352,c0017,e00011,LR,61.74,2022/03/04,2022/11/18,m0045,273
S220120,c0020,e00020,RF,58.51,2022/12/14,2022/12/17,m0025,250
S210857,c0039,e00018,logR,70.12,2021/10/15,2021/11/03,m0051,284
S230357,c0047,e00018,NN,72.79,2023/10/23,2023/11/05,m0081,588
S220001,c0054,e00017,NB,60.54,2022/08/12,2022/12/09,m0052,424
S210450,c0039,e00018,logR,76.87,2021/01/12,2021/03/26,m0028,115
S231317,c0055,e00003,NN,73.08,2023/03/02,2023/04/13,m0073,403
S220290,c0042,e00016,LR,55.49,2022/03/18,2022/07/02,m0060,216
S220531,c0036,e00010,DT,64.12,2022/02/02,2022/11/04,m0069,439
S220786,c0031,e00018,NN,57.56,2022/11/11,2022/12/18,m0023,487
S210226,c0016,e00016,logR,50.31,2021/03/20,2021/07/21,m0082,221
S230113,c0051,e00011,kNN,77.55,2023/10/27,2023/10/29,m0004,609
S210137,c0018,e00014,NB,61.85,2021/10/17,2021/10/20,m0067,279
S230750,c0009,e00012,NN,70.39,2023/10/12,2023/10/25,m0081,669
S230170,c0036,e00007,LR,75.88,2023/02/02,2023/05/29,m0017,534
S230020,c0014,e00014,NN,71.31,2023/08/27,2023/12/06,m0008,620
S220256,c0068,e00009,RF,70.8,2022/05/21,2022/11/04,m0001,379
S231215,c0033,e00008,NN,56.43,2023/04/18,2023/05/20,m0058,645
S220808,c0050,e00018,logR,73.85,2022/07/12,2022/11/01,m0059,265
S230902,c0059,e00014,NN,67.21,2023/08/31,2023/09/12,m0002,454
S210179,c0005,e00012,NB,60.59,2021/11/29,2021/12/07,m0067,256
S210672,c0026,e00001,LR,60.26,2021/02/04,2021/03/18,m0060,187
S230162,c0022,e00014,LR,58.57,2023/06/05,2023/08/11,m0030,557
S230213,c0020,e00020,RF,51.79,2023/09/29,2023/10/06,m0001,567
S230095,c0069,e00011,LR,52.42,2023/10/16,2023/10/24,m0037,474
S210874,c0038,e00019,NB,70.73,2021/11/30,2021/12/29,m0052,193
S230858,c0053,e00008,LR,70.01,2023/08/18,2023/12/22,m0045,485
S220782,c0063,e00010,NN,62.85,2022/10/16,2022/11/27,m0016,202
S230981,c0008,e00010,kNN,50.44,2023/12/17,2023/12/26,m0034,470
S210101,c0057,e00002,logR,77.59,2021/04/15,2021/10/28,m0059,294
S231428,c0003,e00010,DT,75.78,2023/01/10,2023/08/31,m0018,568
S210878,c0021,e00004,DT,55.7,2021/10/29,2021/11/10,m0011,220
S220159,c0014,e00014,NN,51.21,2022/04/19,2022/06/06,m0050,264
S210350,c0020,e00020,RF,76.19,2021/08/21,2021/09/22,m0070,131
S230447,c0042,e00016,logR,52.98,2023/05/19,2023/09/24,m0044,493
S230098,c0030,e00022,NN,63.04,2023/10/18,2023/10/21,m0050,688
S220007,c0033,e00019,NN,75.65,2022/08/01,2022/11/27,m0002,431
S220748,c0004,e00015,DT,67.69,2022/05/07,2022/07/08,m0046,269
S230616,c0031,e00017,NN,55.78,2023/10/12,2023/11/01,m0016,686
S220825,c0044,e00022,kNN,72.8,2022/06/27,2022/12/03,m0024,474
S231021,c0071,e00016,SVM,69.02,2023/05/29,2023/07/15,m0071,582
S220154,c0020,e00020,RF,61.31,2022/08/08,2022/11/16,m0001,285
S220858,c0016,e00016,SVM,69.91,2022/07/26,2022/08/07,m0033,487
S210354,c0014,e00014,NN,50.8,2021/11/09,2021/12/26,m0081,206
S220340,c0072,e00010,NN,63.43,2022/10/04,2022/10/25,m0043,342
S231298,c0012,e00018,DT,61.71,2023/09/03,2023/09/20,m0031,402
S220918,c0014,e00014,NN,71.29,2022/06/29,2022/11/03,m0058,403
S210309,c0038,e00013,LR,62.95,2021/02/01,2021/06/08,m0009,150
S220067,c0014,e00014,NN,75,2022/06/10,2022/09/05,m0016,465
S220449,c0010,e00022,LR,56.09,2022/09/25,2022/11/24,m0075,242
S210812,c0062,e00015,NN,54.51,2021/12/08,2021/12/08,m0023,205
S210271,c0065,e00020,DT,70.82,2021/08/07,2021/10/30,m0011,252
S210483,c0002,e00001,DT,76,2021/10/02,2021/12/12,m0061,152
S220361,c0050,e00021,logR,70.2,2022/08/04,2022/11/22,m0059,460
S231422,c0039,e00013,logR,50.13,2023/11/23,2023/11/30,m0014,402
S231214,c0016,e00016,SVM,69.44,2023/03/20,2023/04/18,m0027,445
S210064,c0011,e00022,LR,51.5,2021/12/21,2021/12/22,m0017,168
S220181,c0068,e00006,RF,60.44,2022/09/11,2022/11/30,m0047,331
S220679,c0004,e00015,DT,75.56,2022/08/10,2022/11/10,m0061,248
S231280,c0014,e00014,NN,68.21,2023/06/13,2023/06/15,m0081,515
S220327,c0014,e00014,NN,57.61,2022/05/13,2022/09/29,m0043,285
S210653,c0020,e00020,RF,64.82,2021/11/11,2021/12/11,m0013,284
S221042,c0014,e00014,NN,65.06,2022/08/22,2022/09/12,m0073,380
S231395,c0014,e00014,NN,64.1,2023/07/30,2023/08/02,m0073,562
S231382,c0018,e00001,DT,56.57,2023/04/11,2023/07/14,m0011,562
S210579,c0037,e00013,NN,53.04,2021/11/25,2021/12/05,m0002,186
S210434,c0064,e00008,DT,54.25,2021/02/01,2021/03/19,m0031,216
S210031,c0037,e00010,NB,74.36,2021/06/18,2021/09/11,m0078,146
S221027,c0046,e00003,NN,63.59,2022/05/06,2022/09/26,m0008,241
S230501,c0014,e00014,NN,56.66,2023/08/08,2023/08/12,m0043,665
S231184,c0014,e00014,NN,56.16,2023/01/13,2023/05/10,m0073,650
S230627,c0014,e00014,NN,66.34,2023/12/02,2023/12/27,m0008,568
S210537,c0019,e00013,RF,60.69,2021/06/12,2021/09/06,m0047,203
S230948,c0009,e00012,NN,64.78,2023/04/03,2023/04/25,m0050,521
S230259,c0019,e00020,SVM,63.85,2023/02/10,2023/10/17,m0079,575
S230973,c0050,e00010,LR,58.69,2023/11/02,2023/12/24,m0060,450
S231141,c0016,e00016,SVM,62.62,2023/11/06,2023/11/27,m0041,421
S210389,c0006,e00021,logR,77.5,2021/01/24,2021/10/13,m0044,158
S220209,c0039,e00008,NN,53.22,2022/06/11,2022/08/30,m0065,364
S220653,c0061,e00001,NN,72.31,2022/02/22,2022/08/02,m0043,200
S220435,c0056,e00007,kNN,54.04,2022/06/11,2022/09/15,m0034,447
S231257,c0058,e00007,DT,67.48,2023/06/15,2023/12/28,m0018,519
S221008,c0071,e00018,NB,66.24,2022/03/05,2022/03/17,m0078,297
S230782,c0002,e00006,NN,66.67,2023/02/22,2023/07/27,m0073,693
S230359,c0014,e00014,NN,60.09,2023/05/30,2023/06/19,m0016,441
S230381,c0064,e00006,logR,75.61,2023/03/05,2023/12/16,m0036,517
S210468,c0006,e00020,DT,52.73,2021/07/24,2021/10/05,m0054,222
S230780,c0014,e00014,NN,77.31,2023/02/08,2023/05/02,m0050,683
S220811,c0065,e00011,RF,74.77,2022/08/24,2022/12/16,m0039,311
S220898,c0014,e00014,NN,56.84,2022/09/27,2022/10/27,m0058,313
S210192,c0033,e00012,DT,59.77,2021/12/06,2021/12/13,m0018,130
S230239,c0014,e00014,NN,65.78,2023/09/16,2023/10/17,m0016,544
S230816,c0009,e00007,NN,75.36,2023/10/14,2023/12/04,m0065,646
S231340,c0014,e00014,NN,65.21,2023/03/23,2023/08/14,m0058,467
S210065,c0004,e00007,logR,52.26,2021/08/02,2021/08/27,m0014,180
S210342,c0025,e00008,logR,57.36,2021/11/26,2021/12/11,m0007,286
S231390,c0045,e00005,kNN,68.58,2023/02/22,2023/10/21,m0072,589
S230129,c0014,e00014,NN,56.65,2023/09/28,2023/12/25,m0081,539
S230908,c0014,e00014,NN,69.13,2023/02/02,2023/12/18,m0002,529
S210654,c0014,e00014,NN,66.82,2021/10/24,2021/12/21,m0016,263
S230019,c0004,e00001,RF,67.67,2023/07/15,2023/11/18,m0032,512
S220167,c0038,e00019,SVM,68.36,2022/04/13,2022/10/19,m0041,410
S230988,c0014,e00014,NN,59.57,2023/10/11,2023/12/22,m0008,681
S220566,c0020,e00020,RF,61.39,2022/09/07,2022/11/02,m0001,452
S220143,c0053,e00012,NN,64.66,2022/06/15,2022/09/26,m0065,426
S210525,c0065,e00016,NN,51.97,2021/07/25,2021/08/04,m0073,187
S230831,c0042,e00012,logR,50.8,2023/04/06,2023/07/02,m0059,437
S231359,c0012,e00009,NN,61.31,2023/09/19,2023/12/25,m0065,561
S230191,c0014,e00014,NN,65.24,2023/06/05,2023/10/22,m0008,698
S220338,c0014,e00014,NN,66.33,2022/04/16,2022/09/07,m0035,446
S210328,c0026,e00010,kNN,72.63,2021/07/14,2021/11/02,m0057,199
S210250,c0067,e00003,kNN,71.24,2021/07/22,2021/08/19,m0004,243
S220844,c0014,e00014,NN,75.95,2022/06/01,2022/11/21,m0065,491
S230855,c0012,e00011,LR,62.44,2023/10/13,2023/11/12,m0045,563
S220234,c0015,e00020,NN,72.22,2022/07/05,2022/08/31,m0058,209
S220602,c0002,e00014,NN,68.14,2022/05/15,2022/12/24,m0016,488
S210104,c0052,e00001,kNN,67.74,2021/08/17,2021/12/05,m0057,158
S230263,c0016,e00018,NN,55.16,2023/04/14,2023/08/21,m0023,493
S230885,c0014,e00014,NN,62.53,2023/04/12,2023/09/27,m0008,676
S230018,c0011,e00011,SVM,73.94,2023/05/19,2023/11/07,m0041,433
S220749,c0027,e00003,logR,55.81,2022/02/25,2022/12/02,m0074,280
S230930,c0014,e00014,NN,69.32,2023/04/09,2023/05/08,m0008,414
S220129,c0029,e00006,LR,57.75,2022/04/06,2022/12/09,m0017,208
S230100,c0007,e00010,NN,69.04,2023/03/06,2023/10/21,m0081,436
S210591,c0019,e00009,NN,67.35,2021/11/26,2021/12/03,m0035,239
S230028,c0058,e00021,NN,63.22,2023/02/23,2023/11/21,m0081,432
S231441,c0014,e00014,NN,60.75,2023/06/19,2023/08/17,m0073,578
S220394,c0013,e00017,NB,69.36,2022/06/28,2022/09/27,m0040,389
S210128,c0069,e00008,logR,75.43,2021/06/27,2021/10/14,m0028,299
S230340,c0002,e00003,NN,64.67,2023/03/16,2023/06/24,m0035,464
S220443,c0017,e00011,kNN,60.89,2022/09/14,2022/12/09,m0042,490
S220564,c0027,e00006,RF,61.91,2022/03/31,2022/10/01,m0039,378
S220197,c0053,e00013,logR,58.74,2022/12/29,2022/12/31,m0022,447
S230952,c0014,e00014,NN,66.53,2023/12/07,2023/12/09,m0043,509
S220009,c0010,e00012,DT,55.59,2022/06/28,2022/07/19,m0076,468
S231346,c0014,e00014,NN,64.06,2023/06/13,2023/07/16,m0065,419
S210102,c0017,e00017,LR,73.51,2021/03/29,2021/12/29,m0030,222
S220790,c0056,e00015,NN,77.15,2022/06/02,2022/09/05,m0050,263
S220926,c0010,e00018,kNN,73.98,2022/06/12,2022/07/17,m0004,309
S210335,c0065,e00004,NB,63.42,2021/06/24,2021/07/11,m0078,158
S230588,c0014,e00014,NN,76.05,2023/12/06,2023/12/25,m0016,537
S210407,c0021,e00002,SVM,53.59,2021/10/24,2021/10/24,m0071,168
S210425,c0058,e00017,NN,63.88,2021/08/10,2021/09/20,m0035,163
S230043,c0024,e00022,NN,66.19,2023/11/22,2023/11/23,m0081,582
S230491,c0014,e00014,NN,76.62,2023/08/19,2023/10/07,m0043,533
S230230,c0020,e00006,RF,51.22,2023/09/18,2023/10/19,m0062,641
S210703,c0035,e00003,logR,69.38,2021/06/14,2021/07/13,m0007,279
S231370,c0014,e00014,NN,50.75,2023/07/25,2023/07/31,m0073,633
S210686,c0047,e00012,SVM,75.64,2021/06/01,2021/12/12,m0063,212
S231015,c0014,e00014,NN,68.85,2023/02/20,2023/09/03,m0065,512
S230304,c0014,e00014,NN,75.99,2023/08/22,2023/10/01,m0002,649
S230067,c0014,e00014,NN,52.28,2023/09/18,2023/11/14,m0002,641
S230518,c0020,e00020,RF,57.41,2023/01/31,2023/07/11,m0062,480
S220432,c0068,e00006,NB,63.33,2022/07/12,2022/09/03,m0052,268
S230413,c0020,e00020,RF,53.44,2023/04/25,2023/11/06,m0025,648
S210075,c0029,e00018,DT,67.32,2021/11/06,2021/12/02,m0026,288
S230843,c0049,e00011,NN,67.16,2023/06/18,2023/09/05,m0016,416
S230178,c0041,e00019,NN,68.33,2023/04/06,2023/06/20,m0035,443
S231152,c0014,e00014,NN,66.62,2023/05/10,2023/10/21,m0065,659
S210449,c0052,e00008,DT,64.88,2021/04/05,2021/07/30,m0011,144
S230072,c0068,e00001,NN,65.55,2023/01/30,2023/12/14,m0050,455
S231066,c0023,e00002,NN,51.96,2023/12/23,2023/12/27,m0050,669
S220627,c0009,e00013,NN,58.75,2022/01/31,2022/07/29,m0050,204
S210821,c0012,e00008,kNN,55.56,2021/04/20,2021/08/06,m0049,105
S230661,c0035,e00019,logR,74.16,2023/09/19,2023/10/28,m0082,525
S220743,c0023,e00006,RF,60.69,2022/10/15,2022/12/12,m0020,483
S220873,c0042,e00009,kNN,66.2,2022/04/01,2022/08/21,m0049,477
S231176,c0061,e00010,NN,67.65,2023/06/11,2023/06/17,m0065,531
S220969,c0014,e00014,NN,63.58,2022/06/25,2022/09/30,m0058,214
S230658,c0061,e00003,DT,76.29,2023/10/29,2023/10/31,m0061,456
S230457,c0044,e00007,NN,58.39,2023/03/03,2023/07/22,m0058,457
S220769,c0034,e00022,DT,74.01,2022/06/29,2022/08/20,m0038,417
S220863,c0038,e00007,NB,72.19,2022/10/03,2022/11/30,m0040,482
S220210,c0014,e00014,NN,74.91,2022/05/16,2022/07/27,m0073,228
S230368,c0014,e00007,NN,64.48,2023/01/24,2023/03/01,m0050,598
S210183,c0023,e00003,kNN,58.45,2021/02/15,2021/02/26,m0080,191
S231139,c0014,e00014,NN,61.58,2023/04/29,2023/10/23,m0043,564
S210310,c0027,e00001,NN,53.15,2021/08/18,2021/09/21,m0073,187
S230667,c0014,e00014,NN,69.95,2023/02/01,2023/12/21,m0081,662
S210408,c0014,e00001,LR,58.65,2021/01/03,2021/10/10,m0060,144
S220716,c0054,e00005,logR,68.59,2022/02/08,2022/08/30,m0082,409
S231149,c0014,e00014,NN,72.13,2023/03/14,2023/11/18,m0073,487
S220684,c0025,e00020,SVM,69.41,2022/02/10,2022/07/17,m0048,291
S220842,c0014,e00004,NN,77.65,2022/04/30,2022/05/11,m0073,227
S231128,c0020,e00010,NN,71.83,2023/09/09,2023/12/26,m0002,525
S210503,c0042,e00017,logR,73.26,2021/07/09,2021/07/10,m0059,156
S230987,c0009,e00003,NN,57.09,2023/09/04,2023/11/13,m0016,679
S231119,c0013,e00011,logR,66.89,2023/11/16,2023/12/31,m0082,620
S230343,c0044,e00021,NN,76.4,2023/01/16,2023/02/02,m0073,410
S220397,c0008,e00007,SVM,53.11,2022/05/02,2022/05/31,m0012,363
S230757,c0048,e00009,DT,58.97,2023/08/23,2023/09/13,m0038,505
S210077,c0071,e00013,SVM,73.35,2021/09/15,2021/09/27,m0021,185
S231275,c0063,e00018,RF,56.65,2023/01/07,2023/10/07,m0039,647
S230159,c0016,e00016,SVM,50.92,2023/06/27,2023/09/04,m0071,421
S220922,c0049,e00012,LR,77.78,2022/12/07,2022/12/14,m0060,318
S231403,c0018,e00014,NN,71.35,2023/10/07,2023/12/10,m0043,666
S210847,c0047,e00012,kNN,75.09,2021/11/10,2021/11/10,m0080,252
S230683,c0014,e00014,NN,60.31,2023/12/29,2023/12/30,m0043,626
S220117,c0044,e00016,kNN,59.39,2022/05/30,2022/10/28,m0010,314
S220310,c0005,e00020,LR,71.98,2022/08/28,2022/12/13,m0075,201
S230818,c0058,e00007,kNN,76.76,2023/06/26,2023/08/11,m0057,453
S220330,c0044,e00022,NN,58.15,2022/11/21,2022/12/03,m0065,200
S230844,c0014,e00014,NN,63.29,2023/04/04,2023/06/26,m0058,675
S230462,c0068,e00015,RF,73.78,2023/01/30,2023/03/15,m0006,618
S220794,c0056,e00014,SVM,62.61,2022/04/18,2022/06/25,m0033,425
S220968,c0009,e00020,kNN,74.73,2022/12/29,2022/12/30,m0057,361
S220807,c0007,e00020,kNN,75.54,2022/10/03,2022/11/02,m0034,248
S210699,c0063,e00002,kNN,60.23,2021/04/03,2021/11/18,m0064,171
S210247,c0033,e00014,SVM,61.92,2021/01/23,2021/08/14,m0033,110
S210240,c0016,e00016,SVM,57.24,2021/02/01,2021/11/16,m0012,105
S220785,c0026,e00022,DT,62.29,2022/10/15,2022/11/27,m0031,400
S230326,c0054,e00016,NN,57.77,2023/08/18,2023/11/10,m0065,631
S220765,c0014,e00009,LR,62.53,2022/01/25,2022/12/23,m0060,268
S220677,c0070,e00007,logR,60.52,2022/04/20,2022/12/29,m0044,331
S230173,c0036,e00015,DT,56.98,2023/12/07,2023/12/27,m0018,402
S210412,c0034,e00013,LR,64.28,2021/08/31,2021/09/14,m0053,283
S230331,c0044,e00011,DT,60.69,2023/12/08,2023/12/23,m0061,687
S210343,c0035,e00005,logR,63.27,2021/10/22,2021/12/03,m0022,170
S210477,c0045,e00003,logR,57,2021/02/21,2021/11/13,m0028,230
S220522,c0063,e00018,kNN,51.08,2022/05/20,2022/11/20,m0064,410
S231310,c0056,e00017,NN,59.08,2023/11/08,2023/12/02,m0081,551
S231406,c0014,e00014,NN,54.6,2023/04/18,2023/06/02,m0073,471
S230534,c0036,e00004,NN,63.99,2023/03/17,2023/11/11,m0043,558
S210208,c0014,e00014,NN,58.18,2021/08/27,2021/09/21,m0016,279
S231023,c0051,e00008,NN,61.45,2023/07/12,2023/09/28,m0002,411
S210688,c0006,e00015,LR,62.56,2021/09/29,2021/12/10,m0053,288
S220459,c0071,e00020,DT,64.09,2022/05/28,2022/09/30,m0054,292
S230301,c0050,e00019,SVM,61.09,2023/06/24,2023/10/02,m0048,670
S230819,c0052,e00019,NN,55.83,2023/11/22,2023/12/15,m0081,561
S210851,c0014,e00014,NN,58.65,2021/12/27,2021/12/27,m0065,284
S231209,c0014,e00014,NN,50.77,2023/09/08,2023/11/12,m0002,667
S231291,c0014,e00014,NN,62.29,2023/02/20,2023/10/16,m0065,530
S220621,c0048,e00005,NN,53.87,2022/03/21,2022/07/26,m0008,417
S210246,c0033,e00002,logR,53.7,2021/01/17,2021/05/27,m0014,266
S210761,c0041,e00009,NN,54.37,2021/02/04,2021/09/28,m0050,263
S220720,c0014,e00014,NN,71.47,2022/03/12,2022/07/11,m0081,371
S210356,c0025,e00018,DT,75.29,2021/10/19,2021/11/22,m0038,215
S210489,c0017,e00004,kNN,50.13,2021/11/28,2021/12/28,m0004,176
S220024,c0062,e00019,DT,64.99,2022/11/26,2022/12/12,m0054,311
